Warehouse ID,Product ID,Product Name,Category,Quantity in Stock,Location,Supplier,Restock Frequency,Average Delivery Time (days),Stock Value (USD),Storage Temperature (C),Shelf Life (days),Hazardous Material,Reorder Level,Daily Sales (units),Daily Restock (units),Stock Level (units),Sales Forecast (units),Latitude,Longitude,State
8,105,Laptop,Footwear,376,Chicago,Supplier A,Quarterly,3,564.55,0.6,237,Yes,46,41,46,290,32,41.8781,-87.6298,IL
9,156,Sneakers,Groceries,316,Phoenix,Supplier B,Quarterly,3,389.32,8.0,223,No,30,23,47,473,7,33.4484,-112.074,AZ
5,146,Laptop,Clothing,33,Phoenix,Supplier B,Monthly,1,415.68,25.8,85,No,55,32,7,8,12,33.4484,-112.074,AZ
3,147,T-Shirt,Furniture,115,Phoenix,Supplier C,Weekly,5,468.72,20.2,356,Yes,30,46,40,32,23,33.4484,-112.074,AZ
5,141,Bananas,Electronics,384,Los Angeles,Supplier C,Weekly,1,83.14,-3.3,351,Yes,93,18,28,402,17,34.0522,-118.2437,CA
5,175,T-Shirt,Groceries,3,Los Angeles,Supplier A,Weekly,10,281.92,25.5,330,No,81,41,16,168,21,34.0522,-118.2437,CA
5,159,T-Shirt,Electronics,486,Chicago,Supplier A,Quarterly,10,853.11,13.6,116,No,61,35,45,331,12,41.8781,-87.6298,IL
3,176,Laptop,Groceries,4,Houston,Supplier C,Weekly,3,746.24,17.2,124,No,38,43,37,440,22,29.7604,-95.3698,TX
4,103,Sneakers,Groceries,356,Los Angeles,Supplier A,Quarterly,13,567.77,1.8,225,No,78,24,3,37,23,34.0522,-118.2437,CA
9,101,Sofa,Furniture,260,New York,Supplier C,Monthly,6,485.9,7.7,221,Yes,85,47,45,231,5,40.7128,-74.006,NY
9,189,Laptop,Footwear,42,Chicago,Supplier B,Weekly,11,266.38,22.3,173,No,48,28,19,183,18,41.8781,-87.6298,IL
2,158,Sofa,Clothing,9,Houston,Supplier A,Monthly,6,476.54,3.2,39,No,36,36,12,292,37,29.7604,-95.3698,TX
8,126,T-Shirt,Clothing,488,New York,Supplier A,Monthly,3,601.88,-3.4,270,No,86,21,19,246,37,40.7128,-74.006,NY
8,126,Sofa,Clothing,307,Phoenix,Supplier C,Quarterly,9,715.51,5.1,178,Yes,19,5,49,10,7,33.4484,-112.074,AZ
7,178,Sneakers,Footwear,145,Los Angeles,Supplier D,Weekly,8,174.97,-7.2,169,Yes,45,26,11,70,3,34.0522,-118.2437,CA
8,171,Laptop,Electronics,401,New York,Supplier D,Monthly,11,814.98,18.7,42,No,25,23,3,237,1,40.7128,-74.006,NY
3,106,Sneakers,Clothing,97,Houston,Supplier B,Weekly,3,352.35,-4.1,283,Yes,45,44,2,464,6,29.7604,-95.3698,TX
6,162,Sneakers,Electronics,276,Chicago,Supplier A,Monthly,5,508.23,1.4,110,Yes,99,33,46,118,7,41.8781,-87.6298,IL
1,145,Laptop,Footwear,142,New York,Supplier A,Monthly,5,611.83,25.2,239,No,93,26,26,217,27,40.7128,-74.006,NY
7,162,Sneakers,Footwear,278,Chicago,Supplier C,Quarterly,14,493.21,11.6,249,Yes,43,22,22,191,31,41.8781,-87.6298,IL
1,111,Bananas,Furniture,436,Phoenix,Supplier D,Weekly,5,576.24,2.9,88,Yes,46,20,17,418,8,33.4484,-112.074,AZ
9,112,Bananas,Clothing,27,Houston,Supplier D,Quarterly,3,120.41,11.9,157,No,81,2,34,351,14,29.7604,-95.3698,TX
1,142,Bananas,Furniture,43,Houston,Supplier B,Quarterly,5,437.83,-1.3,334,Yes,77,41,15,239,15,29.7604,-95.3698,TX
1,116,Sofa,Clothing,131,Los Angeles,Supplier D,Quarterly,5,287.66,-9.0,291,Yes,68,18,12,328,7,34.0522,-118.2437,CA
7,162,Sneakers,Footwear,216,Houston,Supplier D,Quarterly,4,95.17,14.1,297,No,38,5,16,401,7,29.7604,-95.3698,TX
2,180,Laptop,Footwear,94,New York,Supplier D,Quarterly,4,199.73,18.6,58,No,40,32,16,379,33,40.7128,-74.006,NY
5,135,Laptop,Groceries,8,New York,Supplier C,Monthly,2,606.42,25.2,362,Yes,75,46,39,317,41,40.7128,-74.006,NY
8,184,Sofa,Groceries,86,New York,Supplier D,Weekly,9,204.72,20.9,311,No,98,11,6,206,7,40.7128,-74.006,NY
8,107,Laptop,Footwear,345,Phoenix,Supplier B,Weekly,7,189.25,27.1,97,No,12,21,46,222,20,33.4484,-112.074,AZ
3,168,Bananas,Footwear,138,Houston,Supplier D,Quarterly,1,557.3,29.4,236,Yes,78,22,8,146,7,29.7604,-95.3698,TX
7,189,Sneakers,Electronics,369,Houston,Supplier B,Weekly,5,905.66,19.8,301,Yes,31,3,25,189,14,29.7604,-95.3698,TX
3,179,Laptop,Electronics,413,New York,Supplier C,Monthly,2,790.81,24.7,338,No,89,9,19,238,15,40.7128,-74.006,NY
6,135,Laptop,Furniture,424,Los Angeles,Supplier C,Quarterly,10,906.04,16.9,204,No,82,2,19,292,18,34.0522,-118.2437,CA
6,127,T-Shirt,Groceries,246,Los Angeles,Supplier B,Monthly,6,587.15,-3.2,247,No,62,46,12,469,10,34.0522,-118.2437,CA
3,192,T-Shirt,Groceries,449,Houston,Supplier C,Monthly,7,415.83,-2.7,189,Yes,57,28,9,437,35,29.7604,-95.3698,TX
7,146,T-Shirt,Footwear,21,Houston,Supplier A,Quarterly,12,732.34,-5.6,355,Yes,82,34,41,223,27,29.7604,-95.3698,TX
3,175,Sneakers,Footwear,487,Chicago,Supplier A,Monthly,2,268.75,27.7,273,Yes,85,10,29,246,43,41.8781,-87.6298,IL
8,129,Bananas,Furniture,408,Houston,Supplier A,Quarterly,11,87.27,16.9,282,No,56,19,27,247,1,29.7604,-95.3698,TX
4,122,Bananas,Groceries,457,New York,Supplier A,Monthly,6,351.17,21.6,218,Yes,51,29,5,417,28,40.7128,-74.006,NY
1,115,Bananas,Electronics,444,Phoenix,Supplier A,Weekly,13,306.24,3.2,290,Yes,13,2,26,407,34,33.4484,-112.074,AZ
4,113,Sneakers,Clothing,492,Houston,Supplier C,Weekly,3,678.78,8.4,159,No,91,48,30,448,48,29.7604,-95.3698,TX
7,173,Sneakers,Furniture,410,Houston,Supplier B,Weekly,9,555.85,-8.4,32,Yes,91,6,14,38,3,29.7604,-95.3698,TX
4,170,T-Shirt,Clothing,265,New York,Supplier C,Quarterly,4,146.88,25.6,72,No,51,44,33,453,49,40.7128,-74.006,NY
6,151,Laptop,Electronics,148,Chicago,Supplier D,Monthly,3,909.42,24.1,162,No,52,7,35,207,3,41.8781,-87.6298,IL
9,136,Sofa,Electronics,184,Houston,Supplier A,Monthly,13,597.41,21.4,207,No,51,36,11,414,11,29.7604,-95.3698,TX
1,128,Sofa,Clothing,227,Los Angeles,Supplier A,Weekly,11,463.11,-7.7,295,No,12,8,4,400,4,34.0522,-118.2437,CA
5,166,Laptop,Furniture,292,Los Angeles,Supplier C,Weekly,3,937.82,-3.0,53,No,68,19,33,438,30,34.0522,-118.2437,CA
7,114,T-Shirt,Clothing,490,Los Angeles,Supplier D,Quarterly,2,106.33,3.4,51,Yes,90,10,6,187,39,34.0522,-118.2437,CA
1,199,Laptop,Furniture,36,Phoenix,Supplier C,Quarterly,12,791.7,0.5,32,No,85,33,28,360,32,33.4484,-112.074,AZ
4,146,Laptop,Furniture,246,Phoenix,Supplier B,Monthly,9,371.02,23.5,187,No,20,37,10,477,16,33.4484,-112.074,AZ
6,145,Sofa,Footwear,73,Houston,Supplier A,Quarterly,8,698.44,-2.2,33,No,90,38,36,92,17,29.7604,-95.3698,TX
2,151,T-Shirt,Groceries,150,Houston,Supplier C,Quarterly,5,931.42,11.3,136,No,44,27,49,6,11,29.7604,-95.3698,TX
5,118,Sneakers,Groceries,1,Houston,Supplier B,Quarterly,14,522.54,12.9,325,Yes,59,29,26,133,36,29.7604,-95.3698,TX
1,176,Sofa,Electronics,69,Phoenix,Supplier A,Weekly,14,32.41,7.0,301,Yes,72,19,30,486,32,33.4484,-112.074,AZ
6,120,Sneakers,Footwear,457,Houston,Supplier A,Weekly,13,38.56,-0.4,261,Yes,79,18,22,473,35,29.7604,-95.3698,TX
6,163,T-Shirt,Groceries,293,New York,Supplier A,Monthly,9,337.26,28.4,267,Yes,15,23,5,92,27,40.7128,-74.006,NY
4,136,Laptop,Furniture,230,Chicago,Supplier D,Quarterly,13,783.84,6.5,101,No,41,1,2,1,48,41.8781,-87.6298,IL
8,126,Bananas,Furniture,211,Los Angeles,Supplier C,Weekly,2,295.38,19.1,117,No,20,43,33,270,34,34.0522,-118.2437,CA
4,154,Bananas,Clothing,72,Los Angeles,Supplier A,Quarterly,6,341.12,-2.6,45,No,52,3,16,83,5,34.0522,-118.2437,CA
8,128,T-Shirt,Clothing,490,New York,Supplier A,Monthly,7,786.62,22.9,120,Yes,48,10,7,287,25,40.7128,-74.006,NY
8,119,Bananas,Furniture,363,Houston,Supplier B,Quarterly,6,125.03,-1.4,49,No,22,7,21,179,28,29.7604,-95.3698,TX
5,124,Sneakers,Furniture,96,Phoenix,Supplier C,Monthly,3,848.34,17.0,241,Yes,22,49,35,377,18,33.4484,-112.074,AZ
4,169,Bananas,Clothing,397,Houston,Supplier B,Monthly,10,273.13,10.3,113,No,48,26,46,335,3,29.7604,-95.3698,TX
2,162,T-Shirt,Groceries,84,Houston,Supplier C,Weekly,14,60.71,-4.1,155,No,55,16,22,147,28,29.7604,-95.3698,TX
3,135,T-Shirt,Electronics,228,Los Angeles,Supplier A,Quarterly,10,126.17,-9.0,80,Yes,43,39,48,102,2,34.0522,-118.2437,CA
3,101,Sneakers,Clothing,299,Los Angeles,Supplier D,Weekly,10,953.03,27.2,47,No,76,45,22,288,34,34.0522,-118.2437,CA
4,121,Bananas,Groceries,236,Phoenix,Supplier B,Quarterly,9,456.81,-5.0,146,No,41,32,6,313,22,33.4484,-112.074,AZ
4,195,Bananas,Groceries,293,Los Angeles,Supplier D,Quarterly,14,263.87,18.2,153,No,77,12,33,31,22,34.0522,-118.2437,CA
5,115,Laptop,Groceries,222,Houston,Supplier D,Monthly,12,526.06,16.1,57,No,74,44,39,314,30,29.7604,-95.3698,TX
4,117,Sofa,Footwear,458,New York,Supplier D,Monthly,8,685.52,3.7,170,No,82,8,43,485,34,40.7128,-74.006,NY
8,168,T-Shirt,Footwear,223,Phoenix,Supplier C,Quarterly,8,325.61,-2.6,35,Yes,16,8,25,154,48,33.4484,-112.074,AZ
6,153,Laptop,Groceries,281,New York,Supplier C,Weekly,8,728.02,-2.9,186,No,12,45,18,48,1,40.7128,-74.006,NY
6,199,T-Shirt,Furniture,221,Houston,Supplier D,Monthly,9,259.73,13.4,135,No,95,11,41,379,29,29.7604,-95.3698,TX
8,129,Laptop,Footwear,216,Phoenix,Supplier A,Monthly,1,121.21,11.9,148,Yes,89,33,35,41,19,33.4484,-112.074,AZ
7,144,Sofa,Clothing,231,New York,Supplier A,Quarterly,8,554.21,25.0,166,No,81,25,24,153,19,40.7128,-74.006,NY
8,118,Laptop,Footwear,405,Phoenix,Supplier D,Quarterly,2,159.61,15.6,58,No,78,17,40,431,41,33.4484,-112.074,AZ
2,186,T-Shirt,Furniture,169,Houston,Supplier B,Monthly,4,941.08,22.8,195,No,58,31,40,182,41,29.7604,-95.3698,TX
9,133,Bananas,Electronics,329,Phoenix,Supplier B,Weekly,1,10.44,-8.7,94,No,67,19,23,232,29,33.4484,-112.074,AZ
1,112,T-Shirt,Footwear,426,Houston,Supplier C,Monthly,12,758.14,16.8,85,No,37,45,33,121,43,29.7604,-95.3698,TX
8,142,Sneakers,Groceries,42,Phoenix,Supplier B,Quarterly,6,286.68,-0.7,315,No,36,15,29,185,33,33.4484,-112.074,AZ
4,161,Sneakers,Groceries,258,Phoenix,Supplier A,Monthly,10,847.63,0.1,125,Yes,31,44,10,456,17,33.4484,-112.074,AZ
4,192,Sneakers,Groceries,196,Los Angeles,Supplier D,Quarterly,1,69.55,18.8,244,Yes,80,49,15,317,38,34.0522,-118.2437,CA
5,199,Sneakers,Electronics,392,Houston,Supplier B,Monthly,12,953.47,21.7,260,No,22,35,10,388,1,29.7604,-95.3698,TX
8,121,Sofa,Furniture,96,Chicago,Supplier D,Quarterly,5,110.38,4.9,87,No,31,39,26,415,41,41.8781,-87.6298,IL
5,151,Bananas,Clothing,317,Phoenix,Supplier B,Quarterly,9,790.0,21.6,213,No,84,2,40,120,33,33.4484,-112.074,AZ
8,151,Bananas,Furniture,14,New York,Supplier C,Weekly,1,522.17,7.7,311,No,14,34,29,352,36,40.7128,-74.006,NY
1,135,T-Shirt,Electronics,113,Los Angeles,Supplier A,Quarterly,9,436.09,24.3,300,No,31,25,34,226,22,34.0522,-118.2437,CA
9,172,Laptop,Groceries,77,Los Angeles,Supplier C,Monthly,4,287.35,-9.0,238,Yes,88,38,18,112,18,34.0522,-118.2437,CA
6,118,T-Shirt,Furniture,277,Phoenix,Supplier D,Quarterly,3,842.96,-6.7,192,No,62,4,2,195,17,33.4484,-112.074,AZ
3,137,T-Shirt,Clothing,408,Chicago,Supplier A,Monthly,8,207.75,21.1,118,Yes,48,16,25,297,32,41.8781,-87.6298,IL
8,169,T-Shirt,Groceries,434,Los Angeles,Supplier A,Weekly,6,724.03,15.0,300,No,46,32,21,26,20,34.0522,-118.2437,CA
9,178,T-Shirt,Clothing,466,Houston,Supplier C,Monthly,7,451.33,12.4,126,Yes,40,15,31,452,23,29.7604,-95.3698,TX
6,156,Bananas,Footwear,429,Phoenix,Supplier B,Weekly,9,998.51,14.6,104,Yes,71,42,22,194,28,33.4484,-112.074,AZ
7,119,Laptop,Clothing,448,Phoenix,Supplier C,Weekly,5,615.29,27.2,117,Yes,90,14,9,19,46,33.4484,-112.074,AZ
1,108,T-Shirt,Groceries,320,Chicago,Supplier D,Quarterly,13,113.15,16.2,35,Yes,15,41,27,343,26,41.8781,-87.6298,IL
5,131,Bananas,Footwear,488,Houston,Supplier B,Weekly,2,425.33,15.9,185,No,90,15,25,25,7,29.7604,-95.3698,TX
5,103,T-Shirt,Groceries,410,Houston,Supplier C,Monthly,3,75.64,20.4,92,No,43,7,25,47,41,29.7604,-95.3698,TX
4,149,Sneakers,Groceries,160,Chicago,Supplier C,Weekly,3,292.8,24.7,58,No,96,7,27,199,20,41.8781,-87.6298,IL
6,181,T-Shirt,Footwear,492,New York,Supplier B,Weekly,4,349.88,0.5,333,No,61,8,10,264,41,40.7128,-74.006,NY
7,104,T-Shirt,Clothing,313,Houston,Supplier B,Quarterly,10,854.64,14.7,220,No,39,19,30,3,47,29.7604,-95.3698,TX
9,119,Sofa,Electronics,119,New York,Supplier B,Monthly,7,839.61,13.4,233,Yes,22,18,4,471,11,40.7128,-74.006,NY
1,186,Sneakers,Electronics,437,New York,Supplier C,Weekly,12,21.44,-4.6,307,No,67,17,21,239,7,40.7128,-74.006,NY
6,174,Laptop,Electronics,161,Phoenix,Supplier B,Quarterly,10,536.96,10.8,56,Yes,62,18,30,289,38,33.4484,-112.074,AZ
7,136,T-Shirt,Electronics,308,Phoenix,Supplier B,Quarterly,6,231.31,-7.2,114,No,29,19,33,368,27,33.4484,-112.074,AZ
3,121,Laptop,Furniture,351,Los Angeles,Supplier B,Monthly,3,326.89,-2.6,364,Yes,15,40,43,412,9,34.0522,-118.2437,CA
8,157,Sneakers,Electronics,146,Phoenix,Supplier A,Quarterly,14,31.43,26.5,239,No,64,13,26,22,4,33.4484,-112.074,AZ
5,167,T-Shirt,Footwear,163,Houston,Supplier D,Weekly,7,752.25,-5.2,167,Yes,40,11,2,355,49,29.7604,-95.3698,TX
9,192,Sofa,Electronics,396,Houston,Supplier B,Quarterly,4,951.08,13.2,307,Yes,68,7,23,354,38,29.7604,-95.3698,TX
5,143,Bananas,Groceries,179,New York,Supplier D,Monthly,10,227.07,2.9,201,No,28,27,31,30,29,40.7128,-74.006,NY
9,133,Sofa,Electronics,89,Houston,Supplier B,Monthly,11,348.36,12.2,185,Yes,79,37,4,47,49,29.7604,-95.3698,TX
4,176,Sofa,Clothing,493,Phoenix,Supplier B,Quarterly,11,214.37,-0.6,258,Yes,37,5,47,420,26,33.4484,-112.074,AZ
9,141,Bananas,Footwear,223,Phoenix,Supplier A,Weekly,8,930.75,7.8,335,No,22,8,20,315,25,33.4484,-112.074,AZ
5,108,Bananas,Footwear,266,Phoenix,Supplier A,Quarterly,7,19.26,24.7,208,Yes,61,10,25,270,14,33.4484,-112.074,AZ
9,194,Bananas,Furniture,239,Chicago,Supplier B,Monthly,7,588.02,5.0,276,Yes,83,37,45,329,37,41.8781,-87.6298,IL
3,106,T-Shirt,Groceries,308,Houston,Supplier B,Quarterly,9,872.06,4.1,191,No,70,26,1,470,28,29.7604,-95.3698,TX
4,167,Laptop,Footwear,34,Los Angeles,Supplier B,Quarterly,8,194.44,7.8,192,Yes,50,15,2,476,8,34.0522,-118.2437,CA
9,118,Laptop,Clothing,371,Houston,Supplier D,Weekly,12,594.1,-6.0,247,Yes,54,16,6,361,42,29.7604,-95.3698,TX
6,193,Bananas,Electronics,451,Houston,Supplier B,Quarterly,1,60.14,5.5,346,Yes,16,29,7,270,11,29.7604,-95.3698,TX
2,130,Sofa,Footwear,494,Chicago,Supplier D,Weekly,7,816.44,-9.7,315,Yes,91,28,4,463,35,41.8781,-87.6298,IL
7,134,Sneakers,Clothing,167,Houston,Supplier A,Quarterly,3,281.68,10.1,105,No,95,10,18,440,31,29.7604,-95.3698,TX
2,156,Bananas,Electronics,392,New York,Supplier D,Quarterly,12,988.87,23.9,233,No,23,40,41,485,34,40.7128,-74.006,NY
2,184,Sofa,Furniture,125,Phoenix,Supplier B,Weekly,4,922.79,12.1,245,No,45,4,43,152,46,33.4484,-112.074,AZ
1,160,Sofa,Footwear,224,Phoenix,Supplier A,Weekly,6,735.19,14.3,252,No,17,46,5,226,36,33.4484,-112.074,AZ
3,130,T-Shirt,Footwear,491,Chicago,Supplier C,Monthly,5,501.87,-8.8,222,No,21,40,25,248,17,41.8781,-87.6298,IL
6,182,T-Shirt,Clothing,413,Phoenix,Supplier A,Weekly,8,768.92,24.4,322,No,49,14,1,305,49,33.4484,-112.074,AZ
8,194,Laptop,Groceries,150,New York,Supplier C,Quarterly,2,139.3,5.4,221,Yes,97,44,34,171,21,40.7128,-74.006,NY
9,152,Laptop,Furniture,468,Chicago,Supplier D,Monthly,5,317.1,29.0,298,Yes,71,33,3,237,26,41.8781,-87.6298,IL
7,131,Sneakers,Groceries,454,Los Angeles,Supplier A,Weekly,5,36.63,-5.2,330,Yes,23,18,17,236,41,34.0522,-118.2437,CA
4,165,Sneakers,Footwear,189,Phoenix,Supplier A,Weekly,3,648.57,27.8,289,No,58,12,32,259,28,33.4484,-112.074,AZ
6,158,Sneakers,Groceries,43,Houston,Supplier A,Monthly,14,807.48,15.4,221,No,60,10,24,279,22,29.7604,-95.3698,TX
5,109,Sneakers,Electronics,433,New York,Supplier D,Quarterly,10,946.82,-7.9,300,Yes,71,21,2,148,41,40.7128,-74.006,NY
8,101,Sofa,Furniture,29,New York,Supplier B,Quarterly,13,689.64,28.9,133,Yes,14,33,1,109,3,40.7128,-74.006,NY
1,165,Sofa,Groceries,362,Phoenix,Supplier D,Monthly,5,734.77,-9.4,233,No,92,14,34,143,28,33.4484,-112.074,AZ
1,159,Laptop,Electronics,120,Los Angeles,Supplier A,Quarterly,4,896.5,19.2,213,Yes,76,9,8,299,36,34.0522,-118.2437,CA
6,187,T-Shirt,Clothing,337,Houston,Supplier B,Weekly,11,937.01,25.6,246,No,10,26,45,464,2,29.7604,-95.3698,TX
2,116,T-Shirt,Groceries,31,Los Angeles,Supplier A,Quarterly,5,496.38,-3.0,120,Yes,58,15,46,71,46,34.0522,-118.2437,CA
5,195,Bananas,Furniture,181,Los Angeles,Supplier A,Weekly,10,118.69,3.7,227,No,26,21,44,417,20,34.0522,-118.2437,CA
1,115,Sofa,Electronics,162,Phoenix,Supplier C,Quarterly,9,471.75,12.4,68,Yes,82,22,9,311,40,33.4484,-112.074,AZ
7,115,Sneakers,Groceries,128,Houston,Supplier A,Weekly,7,560.51,17.2,226,No,44,46,28,126,36,29.7604,-95.3698,TX
1,145,Sneakers,Clothing,255,Phoenix,Supplier D,Monthly,1,635.23,24.9,108,Yes,76,41,19,467,8,33.4484,-112.074,AZ
4,138,Bananas,Groceries,294,Phoenix,Supplier D,Weekly,3,989.39,20.4,246,No,22,43,20,82,39,33.4484,-112.074,AZ
9,130,T-Shirt,Electronics,441,New York,Supplier D,Quarterly,9,918.39,4.5,345,Yes,46,5,7,41,25,40.7128,-74.006,NY
1,187,Sneakers,Groceries,357,Phoenix,Supplier B,Weekly,4,402.4,22.9,123,Yes,47,44,42,402,15,33.4484,-112.074,AZ
4,100,T-Shirt,Furniture,388,Chicago,Supplier C,Quarterly,4,122.32,28.6,201,Yes,87,16,35,387,30,41.8781,-87.6298,IL
6,110,Bananas,Footwear,254,Houston,Supplier C,Quarterly,10,222.64,-0.9,72,No,15,35,19,259,47,29.7604,-95.3698,TX
6,184,T-Shirt,Electronics,130,New York,Supplier A,Weekly,6,182.06,-7.0,161,Yes,72,5,17,356,34,40.7128,-74.006,NY
8,103,T-Shirt,Electronics,12,Houston,Supplier A,Quarterly,3,362.45,7.1,106,Yes,58,26,40,144,4,29.7604,-95.3698,TX
1,170,T-Shirt,Electronics,35,New York,Supplier C,Monthly,3,877.72,25.3,261,No,18,26,18,171,22,40.7128,-74.006,NY
7,125,Sneakers,Electronics,198,Chicago,Supplier B,Quarterly,9,443.59,-4.0,68,Yes,45,5,7,279,25,41.8781,-87.6298,IL
1,149,Laptop,Groceries,248,Phoenix,Supplier D,Monthly,13,571.6,25.4,83,Yes,32,36,27,471,9,33.4484,-112.074,AZ
7,111,Sofa,Furniture,110,New York,Supplier A,Monthly,5,187.38,29.7,180,Yes,88,24,39,143,23,40.7128,-74.006,NY
3,194,T-Shirt,Clothing,328,New York,Supplier C,Quarterly,14,497.92,-7.8,217,Yes,66,15,30,457,39,40.7128,-74.006,NY
8,180,T-Shirt,Furniture,405,New York,Supplier B,Monthly,7,874.89,9.8,339,Yes,59,30,23,127,12,40.7128,-74.006,NY
3,196,T-Shirt,Electronics,245,Chicago,Supplier D,Monthly,5,775.73,3.2,215,Yes,68,5,20,58,14,41.8781,-87.6298,IL
1,174,Laptop,Groceries,250,Houston,Supplier A,Weekly,6,90.38,5.7,347,Yes,16,40,23,168,7,29.7604,-95.3698,TX
8,191,Bananas,Groceries,366,Chicago,Supplier D,Monthly,8,863.45,8.1,164,No,56,48,26,118,31,41.8781,-87.6298,IL
3,195,Sneakers,Electronics,317,New York,Supplier D,Monthly,8,281.09,19.6,202,Yes,98,22,48,166,6,40.7128,-74.006,NY
2,164,Laptop,Groceries,163,New York,Supplier C,Monthly,2,669.06,13.7,298,No,96,33,47,373,23,40.7128,-74.006,NY
1,146,T-Shirt,Electronics,48,Phoenix,Supplier C,Monthly,11,154.92,28.4,144,Yes,84,5,14,82,19,33.4484,-112.074,AZ
3,191,Laptop,Furniture,399,Chicago,Supplier D,Monthly,9,677.9,3.3,250,No,65,32,48,358,21,41.8781,-87.6298,IL
2,152,Laptop,Footwear,71,Chicago,Supplier D,Quarterly,10,45.34,11.7,68,No,17,48,31,134,19,41.8781,-87.6298,IL
2,170,Laptop,Groceries,399,Los Angeles,Supplier A,Monthly,12,604.64,22.5,271,Yes,45,23,27,364,47,34.0522,-118.2437,CA
6,101,Bananas,Electronics,493,Houston,Supplier B,Quarterly,12,649.48,4.9,250,No,51,10,9,485,19,29.7604,-95.3698,TX
1,123,Sofa,Electronics,134,Los Angeles,Supplier B,Quarterly,12,252.05,8.6,175,Yes,48,36,23,46,44,34.0522,-118.2437,CA
2,103,Sneakers,Groceries,239,Los Angeles,Supplier D,Quarterly,14,937.61,17.4,193,No,74,17,10,262,34,34.0522,-118.2437,CA
6,118,Bananas,Clothing,465,Houston,Supplier C,Weekly,6,55.51,24.4,357,No,53,27,47,469,43,29.7604,-95.3698,TX
3,125,Bananas,Electronics,68,Phoenix,Supplier B,Weekly,7,892.79,6.6,288,No,86,45,23,123,13,33.4484,-112.074,AZ
4,174,Sofa,Groceries,278,Phoenix,Supplier D,Quarterly,3,388.08,11.3,219,No,89,8,10,222,36,33.4484,-112.074,AZ
1,139,Bananas,Electronics,32,Houston,Supplier C,Weekly,4,716.78,29.0,358,Yes,55,40,2,92,25,29.7604,-95.3698,TX
8,149,Laptop,Clothing,123,Houston,Supplier A,Monthly,6,655.03,-8.3,293,Yes,22,44,37,404,33,29.7604,-95.3698,TX
7,142,Laptop,Footwear,22,Chicago,Supplier B,Quarterly,7,176.56,7.9,251,No,46,6,40,19,21,41.8781,-87.6298,IL
7,174,T-Shirt,Clothing,155,Chicago,Supplier A,Quarterly,6,325.81,15.4,361,No,23,7,38,270,34,41.8781,-87.6298,IL
3,166,Bananas,Furniture,110,Chicago,Supplier C,Quarterly,5,534.38,-9.7,203,Yes,22,26,38,65,46,41.8781,-87.6298,IL
3,111,T-Shirt,Groceries,271,Chicago,Supplier D,Weekly,14,848.05,13.9,121,No,21,17,1,219,25,41.8781,-87.6298,IL
2,166,Sneakers,Clothing,380,New York,Supplier A,Weekly,12,955.31,-7.8,135,No,64,37,48,352,18,40.7128,-74.006,NY
1,126,Laptop,Footwear,300,New York,Supplier D,Weekly,2,30.38,24.3,274,Yes,37,23,18,157,43,40.7128,-74.006,NY
7,153,Sneakers,Electronics,115,Phoenix,Supplier B,Monthly,12,359.03,22.3,334,No,31,27,35,415,11,33.4484,-112.074,AZ
7,165,Sofa,Groceries,470,New York,Supplier A,Weekly,7,671.46,-8.7,72,No,93,40,7,153,19,40.7128,-74.006,NY
2,148,Laptop,Clothing,220,New York,Supplier B,Quarterly,5,532.45,-8.0,287,No,28,19,44,247,49,40.7128,-74.006,NY
7,115,Sneakers,Footwear,490,Chicago,Supplier B,Weekly,12,943.59,20.1,350,Yes,84,27,42,199,49,41.8781,-87.6298,IL
8,101,Sofa,Clothing,230,Chicago,Supplier B,Weekly,9,26.8,4.8,115,No,39,25,22,231,34,41.8781,-87.6298,IL
1,159,Sneakers,Furniture,252,Houston,Supplier B,Weekly,13,443.36,13.0,126,No,63,40,25,302,2,29.7604,-95.3698,TX
9,153,Sofa,Groceries,249,Chicago,Supplier B,Weekly,11,672.12,0.8,295,Yes,99,25,42,436,30,41.8781,-87.6298,IL
7,129,Sofa,Electronics,9,Houston,Supplier C,Quarterly,4,225.41,-3.1,92,Yes,24,21,23,16,45,29.7604,-95.3698,TX
3,183,Laptop,Footwear,34,Houston,Supplier A,Weekly,14,728.61,1.8,132,Yes,39,25,9,108,38,29.7604,-95.3698,TX
8,137,T-Shirt,Clothing,228,New York,Supplier D,Quarterly,10,90.42,-0.1,283,Yes,38,7,27,395,15,40.7128,-74.006,NY
7,127,Sofa,Groceries,73,Chicago,Supplier D,Weekly,12,456.53,7.9,346,Yes,41,35,11,274,11,41.8781,-87.6298,IL
8,124,Sofa,Clothing,399,New York,Supplier C,Monthly,2,679.47,19.9,30,No,39,6,27,364,24,40.7128,-74.006,NY
6,195,Laptop,Groceries,446,Chicago,Supplier D,Monthly,7,274.09,12.2,183,No,25,40,40,184,4,41.8781,-87.6298,IL
9,109,T-Shirt,Furniture,301,New York,Supplier D,Quarterly,7,83.11,14.4,290,No,45,15,28,490,19,40.7128,-74.006,NY
5,159,Bananas,Clothing,212,New York,Supplier D,Quarterly,1,957.45,8.8,64,No,91,24,18,184,29,40.7128,-74.006,NY
3,141,Bananas,Furniture,72,New York,Supplier A,Monthly,11,914.68,3.0,56,No,57,49,36,441,14,40.7128,-74.006,NY
